Group,Genus,Species,Tandem,Parthenogenesis,Incipient,Mature,Source,Ref,Note1,Note2
Neo,Reticulitermes,aculabialis,1,Parthenogenesis,monogamous,monogamous,genetics,"Khan Z, Haroon, Sha Z, Xing LX. Asexual queen succession in the subterranean termite Reticulitermes aculabialis Tsai et Hwang (Blattodea: Heterotermitidae). Bulletin of Entomological Research. 2025 Feb 25;1–11. ",,
Neo,Reticulitermes,lucifugus,1,Parthenogenesis,monogamous,monogamous,genetics,"Luchetti A, Velonà A, Mueller M, Mantovani B. Breeding systems and reproductive strategies in Italian Reticulitermes colonies (Isoptera: Rhinotermitidae). Insect Soc. 2013 May 1;60(2):203–11. ",,
Neo,Ancistrotermes,dimorphus,1,NA,NA,monogamous/multiple,field,"Jia B, Wei G, Chen Z, Lu H, Zheng X, Han RQ, et al. Nest structure of Ancistrotermes dimorphus Tsai et Chen. Chinese Journal of Applied Entomology. 2016;53(5):1124–9. ",,
Neo,Ancistrotermes,pakistanicus,1,NA,NA,NA,NA,NA,,
Neo,Hypotermes,obscuriceps,1,NA,NA,NA,NA,NA,,
Neo,Macrotermes,natalensis,1,NA,monogamous,NA,behavior,"Mitchell JD. Swarming and pairing in the fungus-growing termite, Macrotermes natalensis (Haviland) (Isoptera: Macrotermitinae). African Entomology. 2007 Mar 1;15(1):153–60. ",,
Neo,Macrotermes,annandalei,1,NA,NA,NA,NA,NA,,
Neo,Macrotermes,barneyi,1,NA,monogamous,monogamous/multiple,unclear,"Wang Z, Mo J, Lu Y. Biology and Ecology of Macrotermes barneyi (Isoptera: Termitidae). Sociobiology. 2009;54(3):777–85. ","This seems citing a previous study, Li, G.X., Z.R. Dai & D. Li 1989. Termite and Its Control in China. Science Press, Beijing (in Chinese), which observed the reproductive composition. But we could not locate the original article.",
Neo,Macrotermes,convulsionarius,1,NA,NA,NA,NA,NA,,
Neo,Microtermes,usambaricus,1,NA,NA,NA,NA,NA,,
Neo,Microtermes,unicolor,1,NA,NA,NA,NA,NA,,
